a,DT
approximates,VBZ
approximating,VBG
approximation,NN
approximations,NNS
appurtenance,NN
appurtenances,NNS
appurtenant,VBP
apres,NNS
apricot,RB
apricots,VBZ
april,NN
apron,NN
aproning,VBG
apronlike,NN
aprons,NNS
apropos,NNS
apse,VBP
apses,NNS
apt,iNN
apter,NN
apteryx,NN
apteryxes,NNS
aptest,VBP
aptitude,NN
aptitudes,NNS
aptly,RB
aptness,JJ
aptnesses,NNS
aqua,VBP
aquacade,NN
aquacades,NNS
aquaculture,VBP
aquae,NN
aqualung,NN
aquamarine,NN
aquamarines,NNS
aquanaut,iNN
aquanauts,NNS
aquaplane,VBP
aquaplaned,VBN
aquaplanes,NNS
aquaplaning,VBG
aquaria,NNS
aquarial,JJ
aquarian,NN
aquarians,NNS
aquarist,VBP
aquarists,NNS
aquarium,NN
aquariums,NNS
aquarius,VBZ
aquas,NNS
aquatic,JJ
aquatics,NNS
aquatint,VBP
aquatinted,VBN
aquatints,NNS
aquatone,NN
aquatones,NNS
aquavit,NN
aquavits,NNS
aqueduct,NN
aqueducts,NNS
aqueous,JJ
aqueously,RB
aquiculture,NN
aquifer,NN
aquifers,NNS
aquiline,VBP
aquinas,NNS
aquiver,RB
arab,VBP
arabesk,NN
arabesks,NNS
arabesque,VBP
arabesques,NNS
arabia,iNN
arabian,JJ
arabians,NNS
arabic,JJ
arabize,NN
arabizing,VBG
arable,JJ
arables,NNS
arabs,NNS
arachnid,VBD
arachnids,NNS
arachnoid,VBD
araks,NNS
aramaic,JJ
arapaho,NN
arapahos,NNS
arbalest,VBP
arbalests,NNS
arbalist,VBP
arbiter,NN
arbiters,NNS
arbitrable,JJ
arbitrage,NN
arbitrager,NN
arbitragers,NNS
arbitrages,NNS
arbitral,JJ
arbitrament,NN
arbitraments,NNS
arbitrarily,RB
arbitrariness,JJ
arbitrary,NN
arbitrate,NN
arbitrated,VBD
arbitrates,NNS
arbitrating,VBG
arbitration,NN
arbitrational,JJ
arbitrations,NNS
arbitrative,JJ
arbitrator,NN
arbitrators,NNS
arbor,NN
arboreal,NN
arbored,VBD
arbores,NNS
arborescent,NN
arboreta,NN
arboretum,NN
arboretums,NNS
arborist,VBP
arborists,NNS
arborization,NN
arborize,NN
arborized,VBD
arborizes,NNS
arborizing,VBG
arborous,JJ
arbors,NNS
arborvitae,VBP
arborvitaes,NNS
arbour,PRPS
arboured,VBN
arbours,NNS
arbutus,RB
arbutuses,VBZ
arc,NN
arcade,NN
arcaded,VBD
arcades,NNS
arcadia,iNN
arcadian,JJ
arcadians,NNS
arcadias,NNS
arcadings,NNS
arcana,VBP
arcane,NN
arcanum,NN
arced,VBD
arch,NN
archaeologic,NN
archaeological,JJ
archaeologically,RB
archaeologist,JJ
archaeologists,NNS
archaeology,NN
archaic,JJ
archaically,RB
archaism,NN
archaisms,NNS
archaist,VBP
archaistic,JJ
archaists,NNS
archaize,VBP
archaized,VBN
archaizes,NNS
archaizing,VBG
archangel,NN
archangelic,JJ
archangels,NNS
archbishop,VBP
archbishopric,JJ
archbishoprics,NNS
archbishops,NNS
archdeacon,VBP
archdeacons,NNS
archdiocesan,VBP
archdiocese,JJ
archdioceses,NNS
archduchess,NN
archduchesses,NNS
archduke,VBP
archdukes,NNS
arched,VBN
archenemies,NNS
archenemy,VBP
archeological,JJ
archeology,NN
archeozoic,JJ
archer,NN
archeries,NNS
archers,NNS
archery,VBP
arches,NNS
archest,JJS
archetypal,JJ
archetype,NN
archetypes,NNS
archetypic,JJ
archetypical,JJ
archfiend,NN
archfiends,NNS
archiepiscopal,JJ
archimandrite,NN
archimandrites,NNS
archimedean,VBP
archimedes,NNS
arching,VBG
archings,NNS
archipelago,iNN
archipelagoes,NNS
archipelagos,NNS
architect,NN
architectonic,JJ
architectonics,NNS
architects,NNS
architectural,JJ
architecturally,RB
architecture,NN
architectures,NNS
architecure,VBP
architrave,VBP
architraves,NNS
archival,NN
archive,JJ
archived,VBN
archives,NNS
archiving,VBG
archivist,NN
archivists,NNS
archly,RB
archness,JJ
archon,NN
archons,NNS
archonship,NN
archonships,NNS
archway,VBP
archways,NNS
arcing,VBG
arcked,VBN
arcking,VBG
arco,NN
arcs,NNS
arctic,JJ
arctics,NNS
arcuate,VBP
arcus,NN
ardencies,NNS
ardency,NN
ardent,NN
ardently,RB
ardor,NN
ardors,NNS
ardour,PRPS
ardours,NNS
arduous,JJ
arduously,RB
arduousness,JJ
are,VBP
area,NN
areal,NN
areas,NNS
areaway,VBP
areaways,NNS
arena,NNS
arenas,VBP
are,VBP
areola,VB
areolae,NN
areolar,NN
areolas,NNS
areolate,VBP
areole,JJ
areoles,NNS
areology,NN
ares,NNS
arete,VBP
aretes,NNS
arf,iNN
argal,JJ
argals,NNS
argent,NN
argental,NN
argentic,JJ
argentina,NN
argentine,NN
argentinean,NN
argentineans,NNS
argentines,NNS
argentite,VBP
argents,NNS
argentum,NN
argillaceous,JJ
argils,NNS
arginine,VBP
argle,JJ
argled,VBN
argles,NNS
argols,NNS
argon,VBP
argonaut,NN
argonauts,NNS
argons,NNS
argosies,NNS
argosy,VBP
argot,NN
argots,NNS
arguable,JJ
arguably,RB
argue,JJ
argued,VBN
arguer,NN
arguers,NNS
argues,NNS
argufied,VBD
argufiers,NNS
argufy,NN
argufying,VBG
arguing,NN
argument,NN
argumentation,NN
argumentative,NN
argumentatively,RB
argumentive,JJ
arguments,NNS
argus,VBZ
arguses,NNS
argyle,NN
argyles,NNS
argyll,VBP
argylls,NNS
arhat,WDT
arhats,NNS
aria,VBP
arias,NNS
arid,VBD
arider,NN
aridest,NN
aridities,NNS
aridity,NN
aridly,RB
aridness,NN
ariel,NN
aries,NNS
aright,VBD
arils,NNS
ariose,VBP
arioso,RB
ariosos,NNS
arise,VBP
arisen,VBN
arises,NNS
arising,VBG
arisings,NNS
aristocracies,NNS
aristocracy,NN
aristocrat,NN
aristocratic,JJ
aristocratically,RB
aristocrats,VBZ
aristotelian,JJ
aristotle,NN
arith,iNN
arithmetic,JJ
arithmetical,JJ
arithmetically,RB
arithmetician,JJ
arithmeticians,NNS
arithmetics,NNS
arizona,VBP
arizonan,JJ
arizonans,NNS
arizonian,JJ
arizonians,NNS
ark,VBP
arkansan,JJ
arkansans,NNS
arkansas,iNN
arks,NNS
arlington,VBP
arm,NN
armada,NN
armadas,NNS
armadillo,VBP
armadillos,NNS
armageddon,iNN
armament,NN
armaments,NNS
armature,VBP
armatured,VBN
armatures,NNS
armband,VBP
armbands,NNS
armchair,VBP
armchairs,NNS
armed,VBN
armenia,NN
armenian,NN
armenians,NNS
armer,NN
armers,NNS
armful,JJ
armfuls,NNS
armhole,VBP
armholes,NNS
armies,NNS
armiger,VBP
armigers,NNS
arming,VBG
armings,NNS
armistice,NN
armistices,NNS
armless,NN
armlessly,RB
armlessness,NN
armlet,NN
armlets,NNS
armload,VBD
armloads,NNS
armoire,VBP
armoires,NNS
armonica,MD
armor,VB
armored,VBN
armorer,NN
armorers,NNS
armorial,JJ
armories,NNS
armoring,VBG
armors,NNS
armory,NN
armour,NN
armoured,VBD
armourer,NN
armourers,NNS
armouries,NNS
armouring,VBG
armours,NNS
armoury,NN
armpit,NN
armpits,NNS
armrest,VBP
armrests,NNS
arms,NNS
arm,VBP
armsful,JJ
army,NN
armyworm,NN
armyworms,NNS
arnica,VBP
arnicas,NNS
arnold,VBN
aroids,NNS
aroint,VBP
arointed,VBN
arointing,VBG
aroints,NNS
aroma,NN
aromas,NNS
aromatic,JJ
aromatically,RB
aromatics,NNS
aromatize,VBP
arose,JJ
around,iNN
arousal,NN
arousals,NNS
arouse,VBP
aroused,VBN
arouser,NN
arousers,NNS
arouses,NNS
arousing,VBG
aroynt,NN
aroynts,NNS
arpeggio,VBP
arpeggios,NNS
arquebus,NNS
arquebuses,NNS
arrack,VBP
arracks,NNS
arraign,VBP
arraigned,VBN
arraigner,NN
arraigning,NN
arraignment,NN
arraignments,NNS
arraigns,NNS
arrange,VBP
arranged,VBN
arrangement,NN
arrangements,NNS
arranger,JJR
arrangers,NNS
arranges,NNS
arranging,VBG
arrant,NN
arrantly,RB
arras,VBZ
arrases,NNS
array,VBP
arrayal,JJ
arrayals,NNS
arrayed,VBN
arrayer,NN
arrayers,NNS
arraying,VBG
arrays,NNS
arrear,iNN
arrears,NNS
arrest,VBP
arrested,VBN
arrestee,NN
arrestees,NNS
arrester,NN
arresters,NNS
arresting,VBG
arrestment,NN
arrestor,NN
arrestors,NNS
arrests,NNS
arrhythmia,VBP
arrhythmias,NNS
arrhythmical,JJ
arrival,NN
arrivals,NNS
arrive,VBP
arrived,VBN
arrivederci,NN
arriver,RB
arrivers,NNS
arrives,NNS
arriving,VBG
arrogance,NN
arrogant,NN
arrogantly,RB
arrogate,JJ
arrogated,VBN
arrogates,NNS
arrogating,VBG
arrogation,NN
arrogations,NNS
arrow,VBP
arrowed,VBN
arrowhead,NN
arrowheads,NNS
arrowing,VBG
arrowroot,NN
arrowroots,NNS
arrows,VBZ
arrowy,NN
arroyo,NN
arroyos,NNS
ars,NNS
arse,VBP
arsenal,JJ
arsenals,NNS
arsenate,VBP
arsenates,NNS
arsenic,JJ
arsenical,JJ
arsenics,NNS
arsenides,VBZ
arsenious,JJ
arsenites,NNS
arsenous,JJ
arses,NNS
arsis,VBZ
arson,NN
arsonic,JJ
arsonist,NN
arsonists,NNS
arsonous,JJ
arsons,NNS
art,NN
artefact,NN
artemis,VBZ
arterial,JJ
arterials,NNS
arteries,NNS
arteriocapillary,VBP
arteriogram,NN
arteriography,NN
arteriolar,NN
arteriole,NN
arterioles,NNS
arterioscleroses,NNS
arteriosclerosis,NNS
arteriosclerotic,JJ
artery,NN
artful,JJ
artfully,RB
artfulness,JJ
arthritic,JJ
arthritics,NNS
arthritis,VBZ
arthrography,JJ
arthropod,NN
arthropods,NNS
arthur,VBP
arthurian,JJ
artichoke,NN
artichokes,VBZ
article,NN
articled,VBN
articles,NNS
articular,JJ
articulate,NN
articulated,VBD
articulately,RB
articulateness,NN
articulates,NNS
articulating,VBG
articulation,NN
articulationes,NNS
articulations,NNS
articulator,NN
articulatory,NN
artier,NN
artiest,NN
artifact,NN
artifacts,NNS
artifice,NN
artificer,NN
artificers,NNS
artifices,NNS
artificial,JJ
artificiality,NN
artificially,RB
artificialness,NN
artillerist,NN
artillerists,NNS
artillery,VBP
artilleryman,NN
artillerymen,NNS
artily,RB
artiness,JJ
artisan,NN
artisans,NNS
artisanship,NN
artist,NN
artiste,NN
artistes,VBZ
artistic,JJ
artistically,RB
artistries,VBZ
artistry,NN
artists,NNS
artless,NN
artlessly,RB
artlessness,NN
arts,NNS
artwork,VBP
artworks,NNS
arty,NN
arum,NN
arums,NNS
aryan,VBP
aryans,NNS
aryls,NNS
arythmia,VBP
arythmic,JJ
as,iNN
asafetida,NN
asap,NN
asbestic,JJ
asbestos,NNS
asbestosis,VBZ
ascend,NN
ascendable,JJ
ascendance,NN
ascendancy,NN
ascendant,NN
ascended,VBD
ascendence,NN
ascendent,NN
ascender,NN
ascenders,NNS
ascending,VBG
ascends,NNS
ascension,NN
ascensions,NNS
ascent,NN
ascents,NNS
ascertain,VBP
ascertainable,JJ
ascertained,VBN
ascertaining,VBG
ascertainment,NN
ascertains,NNS
ascetic,JJ
ascetically,RB
asceticism,NN
ascetics,NNS
ascii,VBP
ascorbate,JJ
ascorbic,JJ
ascot,NN
ascots,NNS
ascribable,JJ
ascribe,NN
ascribed,VBD
ascribes,NNS
ascribing,VBG
ascription,NN
ascriptions,NNS
asea,VBP
asepses,NNS
asepsis,NNS
aseptic,JJ
aseptically,RB
asexual,JJ
asexuality,NN
asexually,RB
asexuals,NNS
ash,VBP
ashamed,VBN
ashamedly,RB
ashcan,JJ
ashcans,NNS
ashed,VBD
ashen,VBN
ashes,NNS
ashier,JJR
ashiest,NN
ashiness,NN
ashing,VBG
ashlar,JJ
ashlars,NNS
ashlers,NNS
ashless,VBP
ashman,NN
ashmen,NNS
ashore,VBP
ashram,NN
ashrams,NNS
ashtray,VBP
ashtrays,NNS
ashy,WRB
asia,NN
asian,JJ
asians,NNS
asiatic,JJ
aside,NN
asides,VBZ
asinine,NN
asininely,RB
asininity,NN
ask,NN
askance,NN
askant,NN
asked,VBD
asker,NN
askers,NNS
askew,VBP
asking,VBG
askings,NNS
asks,NNS
aslant,VBP
asleep,JJ
aslope,NN
asocial,JJ
asp,NN
asparagus,VBZ
asparaguses,NNS
aspca,VBP
aspect,NN
aspects,NNS
aspen,VBP
aspens,NNS
asper,JJR
asperges,NNS
asperities,NNS
asperity,NN
aspers,NNS
asperse,VBP
aspersed,VBN
aspersers,NNS
asperses,NNS
aspersing,VBG
aspersion,NN
aspersions,NNS
aspersors,NNS
asphalt,VBP
asphalted,VBN
asphaltic,JJ
asphalting,NN
asphalts,NNS
asphaltum,NN
aspheric,JJ
asphodel,NN
asphodels,NNS
asphyxia,VBP
asphyxiant,JJ
asphyxiate,NN
asphyxiated,VBD
asphyxiates,NNS
asphyxiating,VBG
asphyxiation,NN
asphyxiator,NN
asphyxy,NN
aspic,NN
aspics,NNS
aspidistra,VBP
aspidistras,NNS
aspirant,VBP
aspirants,NNS
aspirate,VBP
aspirated,VBN
aspirates,NNS
aspirating,VBG
aspiration,NN
aspirations,NNS
aspirator,NN
aspirators,NNS
aspire,VBP
aspired,VBN
aspirer,NN
aspirers,NNS
aspires,NNS
aspirin,VBP
aspiring,VBG
aspiringly,RB
aspirins,VBZ
aspish,JJ
asps,NNS
asquint,VBP
asramas,NNS
ass,NNS
assafoetida,VBP
assagai,NN
assagais,NNS
assail,VBP
assailable,JJ
assailant,NN
assailants,NNS
assailed,VBD
assailer,NN
assailers,NNS
assailing,VBG
assailment,NN
assails,NNS
assam,VBP
assassin,NN
assassinate,NN
assassinated,VBD
assassinates,NNS
assassinating,VBG
assassination,NN
assassinations,NNS
assassinator,NN
assassins,NNS
assault,NN
assaultable,JJ
assaulted,VBN
assaulter,NN
assaulters,NNS
assaulting,VBG
assaultive,JJ
assaults,NNS
assay,VBP
assayed,VBN
assayer,NN
assayers,NNS
assaying,VBG
assays,NNS
assegai,VBP
assegais,NNS
assemblage,NN
assemblages,NNS
assemble,JJ
assembled,VBN
assembler,NN
assemblers,NNS
assembles,NNS
assemblies,NNS
assembling,VBG
assembly,RB
assemblyman,JJ
assemblymen,NNS
assemblywoman,NN
assemblywomen,NNS
assent,NN
assented,VBD
assenter,NN
assenters,NNS
assenting,VBG
assentor,NN
assentors,NNS
assents,NNS
assert,VBP
asserted,VBN
asserter,NN
asserters,NNS
asserting,VBG
assertion,NN
assertions,NNS
assertive,VBP
assertively,RB
assertiveness,JJ
assertor,NN
assertors,NNS
asserts,NNS
asses,NNS
assess,VBP
assessable,JJ
assessed,VBN
assessee,NN
assesses,NNS
assessing,VBG
assessment,NN
assessments,NNS
assessor,NN
assessors,NNS
assessorship,NN
asset,NN
assets,NNS
asseverate,VBP
asseverated,VBN
asseverates,NNS
asseverating,VBG
asseveration,NN
asseverations,NNS
asshole,VBP
assiduity,NN
assiduous,JJ
assiduously,RB
assiduousness,JJ
assign,NN
assignability,NN
assignable,JJ
assignat,NN
assignation,NN
assignations,NNS
assigned,VBD
assignee,NN
assignees,NNS
assigner,NN
assigners,NNS
assigning,VBG
assignment,NN
assignments,NNS
assignor,CC
assignors,NNS
assigns,NNS
assimilable,JJ
assimilate,NN
assimilated,VBD
assimilates,NNS
assimilating,VBG
assimilation,NN
assimilative,JJ
assimilator,NN
assisi,NN
assist,NN
assistance,NN
assistant,NN
assistants,NNS
assisted,VBD
assister,NN
assisters,NNS
assisting,VBG
assistor,NN
assistors,NNS
assists,NNS
assize,VBP
assizer,NN
assizes,NNS
asslike,VBP
assn,NN
assoc,NN
associate,NN
associated,VBN
associates,NNS
associating,VBG
association,NN
associations,NNS
associative,VBP
associatively,RB
associativity,NN
associator,NN
associators,NNS
assonance,NN
assonances,NNS
assonant,VBP
assonantly,RB
assonants,NNS
assort,VBP
assorted,VBN
assorter,NN
assorters,NNS
assorting,VBG
assortment,NN
assortments,NNS
assorts,NNS
asst,VBP
assuagable,JJ
assuage,NN
assuaged,VBD
assuagement,NN
assuagements,NNS
assuages,NNS
assuaging,VBG
assuasive,JJ
assumable,JJ
assumably,RB
assume,NN
assumed,VBD
assumedly,RB
assumer,NN
assumers,NNS
assumes,VBZ
assuming,VBG
assumption,NN
assumptions,NNS
assumptive,VBP
assumptively,RB
assumptiveness,JJ
assurance,NN
assurances,NNS
assure,VBP
assured,VBN
assuredly,RB
assureds,VBZ
assurer,NN
assurers,NNS
assures,NNS
assuring,VBG
assuror,NN
assurors,NNS
assyria,VBP
assyrian,JJ
assyrians,NNS
astatine,VBP
astatines,NNS
aster,RBR
asterisk,NN
asterisked,VBD
asterisks,NNS
asterism,NN
asterisms,NNS
astern,VBP
asteroid,JJ
asteroidal,NN
asteroids,NNS
asters,NNS
asthma,VBP
asthmas,NNS
asthmatic,JJ
asthmatically,RB
asthmatics,NNS
astigmatic,JJ
astigmatism,NN
astir,NN
astonish,NN
astonished,VBD
astonishes,NNS
astonishing,VBG
astonishingly,RB
astonishment,JJ
astonishments,NNS
astound,VBP
astounded,VBN
astounding,VBG
astoundingly,RB
astounds,NNS
astraddle,VBP
astragal,JJ
astragals,NNS
astrakhan,iNN
astral,JJ
astrally,RB
astrals,NNS
astray,VBP
astride,JJ
astringe,NN
astringed,VBD
astringency,NN
astringent,NN
astringents,NNS
astringes,NNS
astringing,VBG
astrobiological,JJ
astrobiologically,RB
astrobiologies,VBZ
astrobiologist,NN
astrobiologists,NNS
astrobiology,NN
astrodome,NN
astrodynamic,JJ
astrodynamics,NNS
astroid,VBD
astrolabe,NN
astrolabes,NNS
astrologer,JJR
astrologers,NNS
astrologic,JJ
astrological,JJ
astrologically,RB
astrologist,JJ
astrologists,NNS
astrology,NN
astronaut,NN
astronautic,JJ
astronautical,JJ
astronautically,RB
astronautics,NNS
astronauts,NNS
astronomer,VBP
astronomers,NNS
astronomic,JJ
astronomical,JJ
astronomically,RB
astronomy,JJ
astrophysical,JJ
astrophysicist,NN
astrophysicists,NNS
astrophysics,NNS
astute,VBP
astutely,RB
astuteness,JJ
asunder,NN
aswarm,NN
aswirl,NN
aswoon,NN
asyla,NN
asylum,NN
asylums,NNS
asymmetric,JJ
asymmetrical,JJ
asymmetrically,RB
asymmetries,VBZ
asymmetry,NN
asymptomatic,JJ
asymptote,NN
asymptotes,NNS
asymptotic,JJ
asymptotical,JJ
asymptotically,RB
async,JJ
asynchronous,JJ
asyndeta,NN
asystematic,JJ
at,iNN
atavic,JJ
atavism,NN
atavisms,NNS
atavist,VBP
atavistic,JJ
atavists,NNS
ataxia,VBP
ataxic,JJ
ataxy,NN
ate,NN
atelier,NN
ateliers,NNS
atheism,NN
atheisms,NNS
atheist,VBP
atheistic,JJ
atheistical,JJ
atheistically,RB
atheists,VBZ
atheling,VBG
athelings,NNS
athena,NNS
athenaeum,VBP
athenaeums,NNS
atheneum,NN
atheneums,NNS
athenian,JJ
athenians,NNS
athens,NNS
atheroscleroses,NNS
atherosclerosis,NNS
atherosclerotic,JJ
athirst,NN
athlete,NN
athletes,VBZ
athletic,JJ
athletically,RB
athletics,NNS
athwart,VBP
atilt,VBN
atingle,NN
atlanta,NN
atlantic,JJ
atlas,NNS
atlases,NNS
atma,VBP
atman,NN
atmans,NNS
atmas,VBZ
atmosphere,RB
atmospheres,VBZ
atmospheric,JJ
atmospherical,JJ
atmospherically,RB
atmospherics,NNS
atoll,VBP
atolls,NNS
atom,iNN
atomic,JJ
atomical,JJ
atomically,RB
atomics,NNS
atomies,NNS
atomise,VBP
atomised,VBN
atomises,NNS
atomising,VBG
atomism,NN
atomisms,NNS
atomist,VBP
atomistic,JJ
atomists,NNS
atomization,NN
atomize,NN
atomized,VBD
atomizer,NN
atomizers,NNS
atomizes,VBZ
atomizing,VBG
atoms,NNS
atomy,NN
atonable,JJ
atonal,JJ
atonality,NN
atonally,RB
atone,NN
atoneable,JJ
atoned,VBN
atonement,NN
atonements,NNS
atoner,NN
atoners,NNS
atones,NNS
atonics,NNS
atonies,NNS
atoning,VBG
atoningly,RB
atop,VB
atopic,JJ
atremble,JJ
atria,NN
atrial,JJ
atrip,NN
atrium,NN
atriums,NNS
atrocious,JJ
atrociously,RB
atrociousness,JJ
atrocities,NNS
atrocity,NN
atrophic,JJ
atrophied,JJ
atrophies,NNS
atrophy,NN
atrophying,VBG
atropine,NN
atropins,NNS
atropism,NN
attach,NN
attachable,JJ
attache,NN
attached,VBD
attacher,NN
attachers,NNS
attaches,VBZ
attaching,VBG
attachment,NN
attachments,NNS
attack,VBP
attacked,VBN
attacker,NN
attackers,NNS
attacking,VBG
attackingly,RB
attacks,NNS
attain,VBP
attainability,NN
attainable,JJ
attainableness,NN
attainably,RB
attainder,JJR
attainders,NNS
attained,VBD
attainer,NN
attainers,NNS
attaining,VBG
attainment,NN
attainments,NNS
attains,VBZ
attaint,NN
attainted,VBN
attainting,VBG
attaints,NNS
attar,NN
attars,NNS
attemper,NN
attempered,VBD
attempt,NN
attemptable,JJ
attempted,VBN
attempter,NN
attempters,NNS
attempting,VBG
attempts,NNS
attend,VBP
attendance,NN
attendances,NNS
attendant,VBP
attendantly,RB
attendants,NNS
attended,VBD
attendee,NN
attendees,NNS
attender,NN
attenders,NNS
attending,VBG
attends,NNS
attention,NN
attentions,NNS
attentive,VBP
attentively,RB
attentiveness,JJ
attenuate,NN
attenuated,VBD
attenuates,NNS
attenuating,VBG
attenuation,NN
attenuations,NNS
attermined,VBD
attest,JJS
attestable,JJ
attestant,NN
attestation,NN
attestations,NNS
attestator,NN
attested,VBD
attester,NN
attesters,NNS
attesting,VBG
attestor,NN
attestors,NNS
attests,NNS
attic,JJ
attics,NNS
attila,VBP
attire,NN
attired,VBN
attires,NNS
attiring,VBG
attitude,NN
attitudes,NNS
attitudinal,JJ
attitudinize,NN
attitudinized,VBD
attitudinizes,NNS
attitudinizing,VBG
attn,NN
attorney,NN
attorneys,NNS
attorning,VBG
attract,NN
attractable,JJ
attractant,NN
attractants,NNS
attracted,VBD
attracting,VBG
attraction,NN
attractions,NNS
attractive,VBP
attractively,RB
attractiveness,JJ
attracts,NNS
attrib,VBP
attributable,JJ
attribute,NN
attributed,VBD
attributes,NNS
attributing,VBG
attribution,NN
attributions,NNS
attributive,VBP
attributively,RB
attributives,VBZ
attrition,NN
attritional,JJ
attune,NN
attuned,VBD
attunes,NNS
attuning,VBG
atty,NN
atwain,NN
atween,NN
atwitter,NN
atypic,NN
atypical,JJ
atypically,RB
aubade,JJ
aubades,NNS
auberge,VBP
auberges,NNS
auburn,VBP
auburns,NNS
auction,NN
auctioned,VBD
auctioneer,NN
auctioneers,NNS
auctioning,VBG
auctions,NNS
auctorial,JJ
auctors,NNS
aud,VBP
audacious,JJ
audaciously,RB
audaciousness,JJ
audacities,NNS
audacity,NN
audad,NN
audads,NNS
audibility,NN
audible,JJ
audibles,NNS
audibly,RB
audience,NN
audiences,NNS
audient,NN
audio,NN
audiogram,NN
audiological,JJ
audiologies,NNS
audiologist,VBP
audiologists,NNS
audiology,NN
audiometer,NN
audiometers,NNS
audiometric,JJ
audiometries,NNS
audiometrist,VBP
audiometry,NN
audiophile,NN
audiophiles,NNS
audios,NNS
audiotape,VBP
audiotapes,NNS
audiovisual,JJ
audiovisuals,NNS
audit,NN
audited,VBD
auditing,VBG
audition,NN
auditioned,VBD
auditioning,VBG
auditions,NNS
auditive,JJ
auditives,NNS
auditor,NN
auditoria,NN
auditorial,NN
auditories,NNS
auditorium,NN
auditoriums,NNS
auditors,NNS
auditory,VBP
audits,NNS
auf,iNN
augend,NN
augends,NNS
auger,JJR
augers,NNS
aught,VBD
aughts,NNS
augment,NN
augmentation,NN
augmentations,NNS
augmented,VBD
augmenter,NN
augmenters,NNS
augmenting,VBG
augments,NNS
augur,PRPS
augural,JJ
augured,VBN
augurer,NN
augurers,NNS
auguries,NNS
auguring,VBG
augurs,NNS
augury,NN
august,RB
augusta,NN
auguster,NN
augustest,NN
augustine,NN
augustinian,NN
augustly,RB
augustness,NN
auk,NN
auklets,NNS
auks,NNS
auld,MD
aulder,VB
auldest,JJS
aunt,NN
aunthood,NN
aunthoods,NNS
auntie,VBP
aunties,NNS
auntliest,JJS
aunts,NNS
aunty,NN
aura,NN
aurae,NN
aural,JJ
aurally,RB
auras,VBZ
aurate,JJ
aurated,VBN
aureate,NN
aureately,RB
aureateness,NN
aureola,NN
aureolae,NN
aureolas,NNS
aureole,VBP
aureoled,VBN
aureoles,NNS
aureomycin,iNN
aureus,NN
auric,JJ
auricle,NN
auricled,VBD
auricles,NNS
auricular,JJ
auricularly,RB
auriferous,JJ
auriform,NN
aurist,NN
aurochs,NNS
aurochses,NNS
aurora,VBP
aurorae,NN
auroral,JJ
auroras,NNS
aurorean,JJ
aurous,JJ
aurum,NN
aurums,NNS
auscultate,VBP
auscultated,VBN
auscultates,NNS
auscultating,VBG
auscultation,NN
auscultations,NNS
auspice,NN
auspices,NNS
auspicious,JJ
auspiciously,RB
auspiciousness,JJ
aussie,NN
aussies,NNS
austere,RB
austerely,RB
austereness,JJ
austerest,NN
austerities,NNS
austerity,NN
austin,NN
austral,JJ
australia,NN
australian,JJ
australians,NNS
australis,VBZ
austria,NNS
austrian,JJ
austrians,NNS
autarchies,NNS
autarchy,VBP
autarky,JJ
authentic,JJ
authentically,RB
authenticate,JJ
authenticated,VBN
authenticates,NNS
authenticating,VBG
authentication,NN
authentications,NNS
authenticator,NN
authenticators,NNS
authenticities,NNS
authenticity,NN
author,NN
authored,VBD
authoress,NN
authoresses,NNS
authoring,VBG
authoritarian,JJ
authoritarianism,NN
authoritarianisms,NNS
authoritarians,NNS
authoritative,VBP
authoritatively,RB
authoritativeness,JJ
authorities,NNS
authority,NN
authorization,NN
authorizations,NNS
authorize,VBP
authorized,VBN
authorizer,NN
authorizers,NNS
authorizes,VBZ
authorizing,VBG
authors,NNS
authorship,NN
autism,NN
autisms,NNS
autistic,JJ
auto,NN
autobahn,NN
autobahnen,NN
autobahns,NNS
autobiographer,VBP
autobiographers,NNS
autobiographic,JJ
autobiographical,JJ
autobiographically,RB
autobiographies,VBZ
autobiography,JJ
autobus,NN
autobuses,NNS
autobusses,NNS
autocade,VBP
autocades,NNS
autochthonous,JJ
autoclave,NN
autoclaves,NNS
autocracies,NNS
autocracy,NN
autocrat,NN
autocratic,JJ
autocratically,RB
autocrats,VBZ
autodial,JJ
autodialed,VBN
autodialer,NN
autodialers,NNS
autodialing,VBG
autodialled,VBN
autodialling,VBG
autodials,NNS
autodidact,NN
autodidactic,JJ
autodidacts,NNS
autoed,VBD
autoeroticism,NN
autoerotism,NN
autogeneses,NNS
autogenesis,VBZ
autogenetic,JJ
autogiro,NN
autogiros,NNS
autograph,VBP
autographed,VBN
autographic,JJ
autographing,NN
autographs,NNS
autogyro,VBP
autogyros,NNS
autohypnosis,NNS
autoimmunities,NNS
autoimmunity,NN
autoimmunization,NN
autoimmunize,NN
autoimmunized,VBD
autoimmunizing,VBG
autoinfection,NN
autoing,VBG
autoinoculation,NN
autointoxication,NN
autolyze,NN
automanipulation,NN
automanipulative,NN
automat,NN
automata,NN
automate,NN
automated,VBD
automates,NNS
automatic,JJ
automatically,RB
automatics,NNS
automating,VBG
automation,NN
automatism,NN
automatization,NN
automatize,NN
automatized,VBD
automatizes,NNS
automatizing,VBG
automaton,NN
automatons,NNS
automats,NNS
automobile,VBP
automobiles,NNS
automobilist,VBP
automobilists,NNS
automotive,JJ
autonomic,JJ
autonomies,NNS
autonomous,JJ
autonomously,RB
autonomy,JJ
autophagy,NN
autopilot,NN
autopilots,NNS
autopsic,JJ
